date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:53:20	23572/23572	---M-Z	200	added ('OK')	text/css	etag:0x8D6F508D8848921	https://optanon.blob.core.windows.net/skins/4.8.0/default_flat_bottom_two_button_black/v2/css/optanon.css	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/optanon.blob.core.windows.net/skins/4.8.0/default_flat_bottom_two_button_black/v2/css/optanon.css	(from https://cdn.cookielaw.org/consent/c262f9c7-ec79-46d3-a033-e198f84e12e9.js)
10:53:21	68908/68908	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2005:23:19%20GMT	https://www.tagheuer.com/alec-monopoly-watches/onetrust-rtl.css	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/alec-monopoly-watches/onetrust-rtl.html	(from https://cdn.cookielaw.org/consent/c262f9c7-ec79-46d3-a033-e198f84e12e9.js)
10:53:22	1029/1029	---M--	200	added ('OK')	image/png	etag:0x8D6F5088881F58C	https://optanon.blob.core.windows.net/skins/4.8.0/default_flat_bottom_two_button_black/v2/images/optanon-pop-up-close.png	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/optanon.blob.core.windows.net/skins/4.8.0/default_flat_bottom_two_button_black/v2/images/optanon-pop-up-close.png	(from https://cdn.cookielaw.org/consent/c262f9c7-ec79-46d3-a033-e198f84e12e9.js)
10:53:23	14246/14246	---M--	200	added ('OK')	application/octet-stream	etag:0x8D6A79DEE409360	https://optanon.blob.core.windows.net/logos/99/99:www.tagheuer.com/TH_LOGO-2Lignes-Quadri-POS.png	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/optanon.blob.core.windows.net/logos/99/99_www.tagheuer.com/TH_LOGO-2Lignes-Quadri-POS.png	(from https://cdn.cookielaw.org/consent/c262f9c7-ec79-46d3-a033-e198f84e12e9.js)
10:53:23	875/875	---M--	200	added ('OK')	image/png	etag:0x8D6F50888821CA3	https://optanon.blob.core.windows.net/skins/4.8.0/default_flat_bottom_two_button_black/v2/images/cookie-collective-top-bottom.png	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/optanon.blob.core.windows.net/skins/4.8.0/default_flat_bottom_two_button_black/v2/images/cookie-collective-top-bottom.png	(from https://cdn.cookielaw.org/consent/c262f9c7-ec79-46d3-a033-e198f84e12e9.js)
10:53:24	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a637bd4-1538f%22	https://code.jquery.com/jquery-3.3.1.min.js	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/code.jquery.com/jquery-3.3.1.min.js	(from https://cdn.cookielaw.org/consent/c262f9c7-ec79-46d3-a033-e198f84e12e9.js)
10:53:25	95931/95931	---M-Z	200	added ('OK')	application/javascript	etag:W/%225491a9c1-176bb%22	https://code.jquery.com/jquery-1.11.2.min.js	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/code.jquery.com/jquery-1.11.2.min.js	(from https://cdn.cookielaw.org/consent/c262f9c7-ec79-46d3-a033-e198f84e12e9.js)
10:53:25	187324/187324	---M--	200	added ('OK')	image/jpeg	etag:%222dbbc-58bbf28c9b4fa%22	https://www.tagheuer.com/modules/custom//wide_list_accessories/img/header-desktop.jpg	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/modules/custom/wide_list_accessories/img/header-desktop.jpg	(from https://www.tagheuer.com/themes/custom/sapient_classy/css/wide/index-cas.min.css)
10:53:25	99401/99401	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2218449-581b3b59b7bfc%22	https://www.tagheuer.com/alec-monopoly-watches/fonts/proxima-nova-regular/ProximaNova-Regular.eot	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/alec-monopoly-watches/fonts/proxima-nova-regular/ProximaNova-Regular.eot	(from https://www.tagheuer.com/alec-monopoly-watches/stylesheets/app.css)
10:53:25	99401/99401	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2218449-581b3b59b7bfc%22	https://www.tagheuer.com/alec-monopoly-watches/fonts/proxima-nova-regular/ProximaNova-Regular.eot?	C:/Users/barot/Desktop/CounterVision/alec-monopoly/countervision/www.tagheuer.com/alec-monopoly-watches/fonts/proxima-nova-regular/ProximaNova-Regulard41d.eot	(from https://www.tagheuer.com/alec-monopoly-watches/stylesheets/app.css)
